Source,Target,Type,Id,Label,Weight
317,1410,Directed,1055,,1.0
318,477,Directed,343,,1.0
318,1512,Directed,1027,,1.0
319,478,Directed,344,,1.0
319,1479,Directed,876,,1.0
320,478,Directed,345,,1.0
320,1507,Directed,958,,1.0
321,478,Directed,347,,1.0
321,1425,Directed,972,,1.0
322,480,Directed,348,,1.0
322,1448,Directed,798,,1.0
323,478,Directed,349,,1.0
323,1398,Directed,878,,1.0
324,480,Directed,350,,1.0
324,1448,Directed,857,,1.0
325,480,Directed,351,,1.0
325,1448,Directed,847,,1.0
326,481,Directed,352,,1.0
326,1417,Directed,801,,1.0
327,482,Directed,354,,1.0
327,1524,Directed,1105,,1.0
328,479,Directed,355,,1.0
329,483,Directed,356,,1.0
329,1528,Directed,1082,,1.0
330,484,Directed,357,,1.0
330,1534,Directed,792,,1.0
331,484,Directed,360,,1.0
331,1534,Directed,886,,1.0
332,486,Directed,361,,1.0
332,1414,Directed,1111,,1.0
333,486,Directed,366,,1.0
333,1420,Directed,879,,1.0
334,487,Directed,367,,1.0
335,488,Directed,368,,1.0
335,1546,Directed,945,,1.0
336,488,Directed,369,,1.0
336,1546,Directed,961,,1.0
337,487,Directed,371,,1.0
338,491,Directed,373,,1.0
338,1443,Directed,1047,,1.0
339,488,Directed,374,,1.0
339,1546,Directed,1065,,1.0
340,487,Directed,375,,1.0
341,492,Directed,376,,1.0
341,1556,Directed,825,,1.0
342,487,Directed,377,,1.0
343,492,Directed,378,,1.0
343,1556,Directed,1036,,1.0
344,488,Directed,379,,1.0
344,1546,Directed,827,,1.0
345,492,Directed,380,,1.0
345,1556,Directed,1117,,1.0
346,488,Directed,381,,1.0
346,1546,Directed,1006,,1.0
347,493,Directed,382,,1.0
347,1451,Directed,834,,1.0
348,492,Directed,383,,1.0
348,1556,Directed,942,,1.0
349,488,Directed,384,,1.0
349,1546,Directed,1032,,1.0
350,490,Directed,385,,1.0
350,1586,Directed,1078,,1.0
351,488,Directed,392,,1.0
351,1546,Directed,828,,1.0
352,492,Directed,395,,1.0
352,1556,Directed,996,,1.0
